@_id,@_location,word/0/@_form,word/0/@_id,word/0/lemma/@_id,word/0/lemma/@_entry,word/0/lemma/@_POS,word/0/lemma/@_disambiguated,word/0/lemma/@_TreeTagger,word/0/lemma/analysis/@_morph,word/1/@_form,word/1/@_id,word/1/lemma/@_id,word/1/lemma/@_entry,word/1/lemma/@_POS,word/1/lemma/@_TreeTagger,word/1/lemma/@_disambiguated,word/1/lemma/analysis/@_morph,word/2/@_form,word/2/@_id,word/2/lemma/@_id,word/2/lemma/@_entry,word/2/lemma/@_POS,word/2/lemma/@_TreeTagger,word/2/lemma/@_disambiguated,word/2/lemma/analysis/@_morph,word/3/@_form,word/3/@_id,word/3/lemma/@_id,word/3/lemma/@_TreeTagger,word/3/lemma/@_disambiguated,word/4/@_form,word/4/@_id,word/4/lemma/@_id,word/4/lemma/@_entry,word/4/lemma/@_POS,word/4/lemma/@_disambiguated,word/4/lemma/@_TreeTagger,word/4/lemma/analysis/0/@_morph,word/4/lemma/analysis/1/@_morph,word/5/@_form,word/5/@_id,word/5/lemma/@_id,word/5/lemma/@_entry,word/5/lemma/@_POS,word/5/lemma/@_disambiguated,word/5/lemma/@_TreeTagger,word/5/lemma/analysis/@_morph,word/6/@_form,word/6/@_id,word/6/lemma/@_id,word/6/lemma/@_entry,word/6/lemma/@_POS,word/6/lemma/@_TreeTagger,word/6/lemma/@_disambiguated,word/6/lemma/analysis/@_morph,word/7/@_form,word/7/@_id,word/7/lemma/@_id,word/7/lemma/@_entry,word/7/lemma/@_POS,word/7/lemma/@_TreeTagger,word/7/lemma/@_disambiguated,word/7/lemma/analysis/@_morph,word/8/@_form,word/8/@_id,word/8/lemma/@_id,word/8/lemma/@_entry,word/8/lemma/@_POS,word/8/lemma/@_TreeTagger,word/8/lemma/@_disambiguated,word/8/lemma/analysis/@_morph,word/9/@_form,word/9/@_id,word/9/lemma/@_id,word/9/lemma/@_entry,word/9/lemma/@_POS,word/9/lemma/@_disambiguated,word/9/lemma/@_TreeTagger,word/9/lemma/analysis/0/@_morph,word/9/lemma/analysis/1/@_morph,word/9/lemma/analysis/2/@_morph,word/9/lemma/analysis/3/@_morph,word/9/lemma/analysis/4/@_morph,word/10/@_form,word/10/@_id,word/10/lemma/@_id,word/10/lemma/@_entry,word/10/lemma/@_POS,word/10/lemma/@_disambiguated,word/10/lemma/@_TreeTagger,word/10/lemma/analysis/@_morph,word/11/@_form,word/11/@_id,word/11/lemma/@_id,word/11/lemma/@_entry,word/11/lemma/@_POS,word/11/lemma/@_TreeTagger,word/11/lemma/@_disambiguated,word/11/lemma/analysis/@_morph,word/12/@_form,word/12/@_id,word/12/lemma/@_id,word/12/lemma/@_entry,word/12/lemma/@_POS,word/12/lemma/@_disambiguated,word/12/lemma/@_TreeTagger,word/12/lemma/analysis/@_morph,word/13/@_form,word/13/@_id,word/13/lemma/@_id,word/13/lemma/@_entry,word/13/lemma/@_POS,word/13/lemma/@_TreeTagger,word/13/lemma/@_disambiguated,word/13/lemma/analysis/@_morph,word/14/@_form,word/14/@_id,word/14/lemma/@_id,word/14/lemma/@_entry,word/14/lemma/@_POS,word/14/lemma/@_TreeTagger,word/14/lemma/@_disambiguated,word/14/lemma/analysis/0/@_morph,word/14/lemma/analysis/1/@_morph,word/14/lemma/analysis/2/@_morph,word/14/lemma/analysis/3/@_morph,word/15/@_form,word/15/@_id,word/15/lemma/@_id,word/15/lemma/@_entry,word/15/lemma/@_POS,word/15/lemma/@_TreeTagger,word/15/lemma/@_disambiguated,word/15/lemma/analysis/@_morph,word/16/@_form,word/16/@_id,word/16/lemma/@_id,word/16/lemma/@_TreeTagger,word/16/lemma/@_disambiguated,word/17/@_form,word/17/@_id,word/17/lemma/@_id,word/17/lemma/@_entry,word/17/lemma/@_POS,word/17/lemma/@_disambiguated,word/17/lemma/@_TreeTagger,word/17/lemma/analysis/@_morph,word/18/@_form,word/18/@_id,word/18/lemma/@_id,word/18/lemma/@_entry,word/18/lemma/@_POS,word/18/lemma/@_TreeTagger,word/18/lemma/@_disambiguated,word/18/lemma/analysis/@_morph,word/19/@_form,word/19/@_id,word/19/lemma/@_id,word/19/lemma/@_entry,word/19/lemma/@_POS,word/19/lemma/@_disambiguated,word/19/lemma/@_TreeTagger,word/19/lemma/analysis/0/@_morph,word/19/lemma/analysis/1/@_morph,word/20/@_form,word/20/@_id,word/20/lemma/@_id,word/20/lemma/@_entry,word/20/lemma/@_POS,word/20/lemma/@_TreeTagger,word/20/lemma/@_disambiguated,word/20/lemma/analysis/@_morph,word/21/@_form,word/21/@_id,word/21/lemma/@_id,word/21/lemma/@_entry,word/21/lemma/@_POS,word/21/lemma/@_TreeTagger,word/21/lemma/@_disambiguated,word/21/lemma/analysis/@_morph,word/22/@_form,word/22/@_id,word/22/lemma/@_id,word/22/lemma/@_entry,word/22/lemma/@_POS,word/22/lemma/@_TreeTagger,word/22/lemma/@_disambiguated,word/22/lemma/analysis/@_morph,word/23/@_form,word/23/@_id,word/23/lemma/@_id,word/23/lemma/@_entry,word/23/lemma/@_POS,word/23/lemma/@_disambiguated,word/23/lemma/@_TreeTagger,word/23/lemma/analysis/@_morph,word/24/@_form,word/24/@_id,word/24/lemma/@_id,word/24/lemma/@_entry,word/24/lemma/@_POS,word/24/lemma/@_disambiguated,word/24/lemma/@_TreeTagger,word/24/lemma/analysis/@_morph,word/25/@_form,word/25/@_id,word/25/lemma/@_id,word/25/lemma/@_entry,word/25/lemma/@_POS,word/25/lemma/@_TreeTagger,word/25/lemma/@_disambiguated,word/25/lemma/analysis/@_morph,word/26/@_form,word/26/@_id,word/26/lemma/@_id,word/26/lemma/@_entry,word/26/lemma/@_POS,word/26/lemma/@_TreeTagger,word/26/lemma/@_disambiguated,word/26/lemma/analysis/0/@_morph,word/26/lemma/analysis/1/@_morph,word/27/@_form,word/27/@_id,word/27/lemma/@_id,word/27/lemma/@_entry,word/27/lemma/@_POS,word/27/lemma/@_TreeTagger,word/27/lemma/@_disambiguated,word/27/lemma/analysis/@_morph,word/28/@_form,word/28/@_id,word/28/lemma/@_id,word/28/lemma/@_entry,word/28/lemma/@_POS,word/28/lemma/@_TreeTagger,word/28/lemma/@_disambiguated,word/28/lemma/analysis/@_morph,punct/0/@_mark,punct/1/@_mark,punct/2/@_mark,punct/3/@_mark,punct/4/@_mark,punct/5/@_mark,word/3/lemma/@_entry,word/3/lemma/@_POS,word/3/lemma/analysis/@_morph,word/4/lemma/analysis/@_morph,word/6/lemma/analysis/0/@_morph,word/6/lemma/analysis/1/@_morph,word/0/lemma/analysis/0/@_morph,word/0/lemma/analysis/1/@_morph,word/8/lemma/analysis/0/@_morph,word/8/lemma/analysis/1/@_morph,word/12/lemma/analysis/0/@_morph,word/12/lemma/analysis/1/@_morph,word/9/lemma/analysis/@_morph,word/11/lemma/analysis/0/@_morph,word/11/lemma/analysis/1/@_morph,word/14/lemma/analysis/@_morph,word/15/lemma/analysis/0/@_morph,word/15/lemma/analysis/1/@_morph,word/15/lemma/analysis/2/@_morph,word/16/lemma/@_entry,word/16/lemma/@_POS,word/16/lemma/analysis/@_morph,word/17/lemma/analysis/0/@_morph,word/17/lemma/analysis/1/@_morph,word/17/lemma/analysis/2/@_morph,word/17/lemma/analysis/3/@_morph,word/17/lemma/analysis/4/@_morph,word/19/lemma/analysis/@_morph,word/2/lemma/analysis/0/@_morph,word/2/lemma/analysis/1/@_morph,word/2/lemma/analysis/2/@_morph,word/2/lemma/analysis/3/@_morph,word/5/lemma/analysis/0/@_morph,word/5/lemma/analysis/1/@_morph,word/10/lemma/analysis/0/@_morph,word/10/lemma/analysis/1/@_morph,word/10/lemma/analysis/2/@_morph,punct/@_mark,word/7/lemma/analysis/0/@_morph,word/7/lemma/analysis/1/@_morph,word/0/lemma/analysis/2/@_morph,word/0/lemma/analysis/3/@_morph,word/0/lemma/analysis/4/@_morph,word/0/lemma/analysis/5/@_morph,word/0/lemma/analysis/6/@_morph,word/0/lemma/analysis/7/@_morph,word/0/lemma/analysis/8/@_morph,word/12/lemma/analysis/2/@_morph,word/12/lemma/analysis/3/@_morph
1,1,oi(\,1,29856,ἕ,pronoun,0.5,true,masc/fem dat sg (epic ionic),me\n,2,66260,μέν,particle,false,n/a,indeclform (particle),ga\r,3,21618,γάρ,particle,false,n/a,indeclform (particle),*draka/nw|,4,unknown,false,n/a,s',5,97456,σύ,pronoun,1.0,true,acc 2nd sg,acc 2nd sg,oi(\,6,29856,ἕ,pronoun,0.5,true,masc/fem dat sg (epic ionic),d',7,23596,δέ,particle,false,n/a,indeclform (particle),*)ika/rw|,8,nlsj1696,Ἴκαρος,proper,false,n/a,masc dat sg,h)nemoe/ssh|,9,47397,ἠνεμόεις,adjective,false,n/a,fem dat sg (attic epic ionic),fa/s',10,110639,φημί,verb,1.0,true,pres ind act 3rd pl,pres ind act 3rd sg (doric),imperf ind mp 2nd sg (epic),aor ind mid 2nd sg (epic),pres part act fem dat sg (doric aeolic),oi(\,11,29856,ἕ,pronoun,0.5,true,masc/fem dat sg (epic ionic),d',12,23596,δέ,particle,false,n/a,indeclform (particle),e)n,13,34700,ἐν,preposition,0.5,true,proclitic indeclform (prep),*na/cw|,14,69706,Νάξος,proper,false,n/a,fem dat sg,di=on,15,27293,δῖος,adjective,false,n/a,masc acc sg,neut nom/voc/acc sg,masc/fem acc sg,neut nom/voc/acc sg,ge/nos,16,21920,γένος,noun,false,n/a,neut nom/voc/acc sg,ei)rafiw=ta,17,unknown,false,n/a,oi(\,18,29856,ἕ,pronoun,0.5,true,masc/fem dat sg (epic ionic),de/,19,23596,δέ,particle,false,n/a,indeclform (particle),s',20,97456,σύ,pronoun,1.0,true,acc 2nd sg,acc 2nd sg,e)p',21,nlsj126,ἐπί,preposition,false,n/a,indeclform (prep),*)alfeiw=|,22,nlsj2119,Ἀλφειός,proper,false,n/a,masc dat sg,potamw=|,23,85953,ποταμός,noun,false,n/a,masc dat sg,baqudinh/enti,24,19025,βαθυδίνης,adjective,0.5,true,masc/neut dat sg,kusame/nhn,25,61176,κύω,verb,0.5,true,aor part mid fem acc sg (attic epic ionic),*seme/lhn,26,nlsj9892,Σεμέλη,proper,false,n/a,fem acc sg (attic epic ionic),teke/ein,27,103942,τίκτω,verb,false,n/a,aor inf act (epic ionic),fut inf act (epic ionic),*dii\,28,46195,Ζεύς,proper,false,n/a,masc dat sg,terpikerau/nw|,29,103184,τερπικέραυνος,adjective,false,n/a,masc/fem/neut dat sg,",",",",",",",",",",:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,a)/lloi,1,4490,ἄλλος,adjective,n/a,false,masc nom/voc pl,d',2,23596,δέ,particle,false,n/a,indeclform (particle),e)n,3,34700,ἐν,preposition,true,0.5,proclitic indeclform (prep),*qh/bh|sin,4,48603,false,n/a,a)/nac,5,7094,ἄναξ,noun,n/a,false,,,se,6,97456,σύ,pronoun,n/a,false,acc 2nd sg,le/gousi,7,62204,λέγω,verb,true,0.33,,gene/sqai,8,22209,γίγνομαι,verb,false,n/a,aor inf mid,yeudo/menoi,9,115586,ψεύδω,verb,false,n/a,pres part mp masc nom/voc pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",",",",",:,,,Θῆβαι,proper,fem dat pl (epic ionic),masc nom/voc sg,pres part act masc/neut dat pl (attic epic doric ionic),pres ind act 3rd pl (attic epic doric ionic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,se\,1,97456,σύ,pronoun,1.0,true,,d',2,23596,δέ,particle,false,n/a,indeclform (particle),e)/tikte,3,103942,τίκτω,verb,false,n/a,imperf ind act 3rd sg,path\r,4,80011,false,n/a,a)ndrw=n,5,8665,ἀνήρ,noun,1.0,true,,,te,6,102752,τε,particle,n/a,false,enclitic indeclform (particle),qew=n,7,nlsj96033,θέα,noun,true,0.33,fem gen pl,te,8,102752,τε,particle,false,n/a,enclitic indeclform (particle),pollo\n,9,85306,πολύς,adjective,false,n/a,,a)p',10,12243,ἀπό,preposition,n/a,false,indeclform (prep),poetic indeclform (prep),,,,a)nqrw/pwn,11,8909,ἄνθρωπος,noun,n/a,false,masc gen pl,kru/ptwn,12,60245,κρύπτω,verb,false,n/a,pres part act masc nom sg,leukw/lenon,13,62774,λευκώλενος,adjective,n/a,false,,*(/hrhn,14,47508,Ἥρα,proper,false,n/a,fem acc sg (epic ionic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",.,,,,,πατήρ,noun,masc nom sg,masc gen pl,,,acc 2nd sg,acc 2nd sg,masc acc sg (ionic),neut nom/voc/acc sg (ionic),masc/fem acc sg,neut nom/voc/acc sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,e)/sti,1,31130,εἰμί,verb,n/a,false,pres ind act 3rd sg,de/,2,23596,δέ,particle,false,n/a,indeclform (particle),tis,3,104051,τις,pronoun,false,n/a,masc/fem nom sg,*nu/sh,4,nlsj8289,false,n/a,u(/paton,5,106998,ὕπατος,adjective,n/a,false,masc acc sg,neut nom/voc/acc sg,o)/ros,6,75306,ὄρος,adjective,n/a,false,neut nom/voc/acc sg,a)nqe/on,7,8741,ἀνθέω,verb,false,n/a,,u(/lh|,8,106601,ὕλη,noun,true,0.5,fem dat sg (attic epic ionic),thlou=,9,103839,τηλοῦ,adverb,false,n/a,indeclform (adverb),*foini/khs,10,nlsj5528,Φοινίκη,proper,n/a,false,,,,,,sxedo\n,11,101822,σχεδόν,adverb,n/a,false,indeclform (adverb),*ai)gu/ptoio,12,2224,Αἴγυπτος,proper,false,n/a,,r(oa/wn,13,92553,ῥόα,noun,0.5,true,fem gen pl (epic aeolic),kai/,14,51951,καί,conjunction,false,n/a,indeclform (conj),oi(,15,29856,ἕ,pronoun,true,1.0,,,,,a)nasth/sousin,16,9082,ἀνίστημι,verb,false,n/a,,a)ga/lmata,17,293,false,n/a,po/ll',18,85306,πολύς,adjective,n/a,false,,e)ni\,19,34700,ἐν,preposition,false,n/a,proclitic poetic indeclform (prep),nhoi=s,20,69714,ναός,noun,1.0,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",",",",",",",",",.,Νύση,proper,fem nom/voc sg (attic epic ionic),,pres part act masc voc sg (epic doric ionic aeolic),pres part act neut nom/voc/acc sg (epic doric ionic aeolic),,,,,,,fem gen sg (attic epic ionic),fem gen sg (epic),masc gen sg (epic),masc/fem dat sg (epic ionic),aor subj act 3rd pl (epic),fut part act masc/neut dat pl (attic epic doric ionic),fut ind act 3rd pl (attic epic doric ionic),ἄγαλμα,noun,neut nom/voc/acc pl,fem nom/voc/acc dual,fem nom/voc sg (doric aeolic),neut nom/voc/acc pl,masc voc sg (ionic),fem nom/voc pl,masc dat pl (epic ionic),,,,,,,,,,,,,,,,,,,,,
5,11,w(\s,1,75512,ὅς,pronoun,0.5,false,masc acc pl (doric),de\,2,23596,δέ,particle,false,n/a,indeclform (particle),ta\,3,71882,ὁ,article,true,1.0,,me\n,4,66260,false,n/a,tri/a,5,104655,τρεῖς,noun,0.5,false,,,soi\,6,97456,σύ,pronoun,1.0,true,,pa/ntws,7,77698,πάντως,adverb,false,n/a,indeclform (adverb),triethri/sin,8,104913,τριετηρίς,noun,false,n/a,fem dat pl,ai)ei\,9,1564,ἀεί,adverb,false,n/a,epic (indeclform adverb),a)/nqrwpoi,10,8909,ἄνθρωπος,noun,n/a,false,,,,,,r(e/cousi,11,92269,ῥέζω,verb,n/a,false,,telhe/ssas,12,102997,τελήεις,adjective,false,n/a,,e(kato/mbas,13,31631,ἑκατόμβη,noun,n/a,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",.,,,,,μέν,particle,indeclform (particle),neut nom/voc/acc pl,,,,,,,fem acc pl,fem gen sg (doric aeolic),masc nom/voc pl,fem acc pl,fem gen sg (doric aeolic),,,,,,,,,,,,,,neut acc pl,neut nom/voc/acc pl,fem acc dual,fem nom/voc/acc dual,dat 2nd sg,dat 2nd sg,aor subj act 3rd pl (epic),fut part act masc/neut dat pl (attic epic doric ionic),fut ind act 3rd pl (attic epic doric ionic),,,,,,,,,,,,
6,13,h)=,1,46571,ἦ,adverb,1.0,true,indeclform (adverb),kai\,2,51951,καί,conjunction,false,n/a,indeclform (conj),kuane/h|sin,3,60438,κυάνεος,adjective,true,1.0,,e)p',4,nlsj126,false,n/a,o)fru/si,5,nlsj78515,ὀφρύς,noun,n/a,false,,,neu=se,6,70564,νέω,verb,0.5,true,aor ind act 3rd sg (homeric ionic),*kroni/wn,7,60121,Κρόνια,proper,false,0.33,neut gen pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐπί,preposition,indeclform (prep),fem dat pl,,,,,,,,,,,,,,,,,,,,,,,,,fem dat pl (epic ionic),fem dat pl (epic ionic),,,,,,,,:,,,,,,,,,,,
7,14,a)mbro/siai,1,5080,ἀμβρόσιος,adjective,1.0,true,fem nom/voc pl,d',2,23596,δέ,particle,false,n/a,indeclform (particle),a)/ra,3,14639,ἄρα,particle,true,1.0,indeclform (particle),xai=tai,4,112936,false,n/a,e)perrw/santo,5,40773,ἐπιρρώννυμι,verb,0.5,true,,,a)/naktos,6,7094,ἄναξ,noun,n/a,false,masc gen sg,krato\s,7,59655,κράς,verb,false,n/a,fem gen sg,a)p',8,12243,ἀπό,preposition,false,n/a,,a)qana/toio,9,1899,ἀθάνατος,adjective,false,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,χαίτη,noun,fem nom/voc pl,aor ind mid 3rd pl,,,,,masc/neut gen sg (epic),masc/fem/neut gen sg (epic),,,,,,,,,,,,,,,,,,,,,,,,,,,,:,indeclform (prep),poetic indeclform (prep),,,,,,,,,
8,15,me/gan,1,65552,μέγας,adverb,n/a,false,masc acc sg,d',2,23596,δέ,particle,false,n/a,indeclform (particle),e)le/licen,3,33574,ἐλελίζω,verb,true,0.5,aor ind act 3rd sg (epic),*)/olumpon,4,73355,false,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ὄλυμπος,proper,masc acc sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,
9,16,w(\s,1,75512,ὅς,pronoun,0.5,false,masc acc pl (doric),ei)pw\n,2,31161,εἶπον,verb,false,n/a,aor part act masc nom sg,e)pe/neuse,3,40316,ἐπινέω,verb,true,0.5,aor ind act 3rd sg,karh/ati,4,53248,false,n/a,mhti/eta,5,67546,μητίετα,adjective,n/a,false,masc voc sg,masc nom sg (epic),*zeu/s,6,46195,Ζεύς,proper,n/a,false,masc nom sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,κάρα,noun,neut dat sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,
10,17,i(/lhq',1,50363,ἵλημι,verb,0.5,true,,ei)rafiw=ta,2,unknown,,,false,n/a,,gunaimane/s,3,23066,γυναιμανής,adjective,false,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",",",:,,,,,,,,,,pres ind act 3rd sg (doric),imperf ind mp 3rd sg,,,,,,,,,,,,,,,,,,,,,masc/fem voc sg,neut nom/voc/acc sg,,,,,,,,,,,imperf ind act 2nd pl,pres imperat act 2nd pl,pres ind act 2nd pl,pres ind mp 3rd sg,pres imperat act 2nd sg,imperf ind mp 3rd sg (homeric ionic),imperf ind act 2nd pl (homeric ionic),,
