@_id,@_location,word/0/@_form,word/0/@_id,word/0/lemma/@_id,word/0/lemma/@_entry,word/0/lemma/@_POS,word/0/lemma/@_TreeTagger,word/0/lemma/@_disambiguated,word/0/lemma/analysis/@_morph,word/1/@_form,word/1/@_id,word/1/lemma/@_id,word/1/lemma/@_entry,word/1/lemma/@_POS,word/1/lemma/@_TreeTagger,word/1/lemma/@_disambiguated,word/1/lemma/analysis/@_morph,word/2/@_form,word/2/@_id,word/2/lemma/@_id,word/2/lemma/@_entry,word/2/lemma/@_POS,word/2/lemma/@_TreeTagger,word/2/lemma/@_disambiguated,word/2/lemma/analysis/@_morph,word/3/@_form,word/3/@_id,word/3/lemma/@_id,word/3/lemma/@_entry,word/3/lemma/@_POS,word/3/lemma/@_TreeTagger,word/3/lemma/@_disambiguated,word/3/lemma/analysis/@_morph,word/4/@_form,word/4/@_id,word/4/lemma/@_id,word/4/lemma/@_entry,word/4/lemma/@_POS,word/4/lemma/@_TreeTagger,word/4/lemma/@_disambiguated,word/4/lemma/analysis/@_morph,word/5/@_form,word/5/@_id,word/5/lemma/@_id,word/5/lemma/@_entry,word/5/lemma/@_POS,word/5/lemma/@_TreeTagger,word/5/lemma/@_disambiguated,word/5/lemma/analysis/0/@_morph,word/5/lemma/analysis/1/@_morph,word/6/@_form,word/6/@_id,word/6/lemma/@_id,word/6/lemma/@_entry,word/6/lemma/@_POS,word/6/lemma/@_TreeTagger,word/6/lemma/@_disambiguated,word/6/lemma/analysis/@_morph,word/7/@_form,word/7/@_id,word/7/lemma/@_id,word/7/lemma/@_entry,word/7/lemma/@_POS,word/7/lemma/@_disambiguated,word/7/lemma/@_TreeTagger,word/7/lemma/analysis/@_morph,word/8/@_form,word/8/@_id,word/8/lemma/@_id,word/8/lemma/@_entry,word/8/lemma/@_POS,word/8/lemma/@_disambiguated,word/8/lemma/@_TreeTagger,word/8/lemma/analysis/@_morph,word/9/@_form,word/9/@_id,word/9/lemma/@_id,word/9/lemma/@_entry,word/9/lemma/@_POS,word/9/lemma/@_TreeTagger,word/9/lemma/@_disambiguated,word/9/lemma/analysis/0/@_morph,word/9/lemma/analysis/1/@_morph,word/10/@_form,word/10/@_id,word/10/lemma/@_id,word/10/lemma/@_entry,word/10/lemma/@_POS,word/10/lemma/@_TreeTagger,word/10/lemma/@_disambiguated,word/10/lemma/analysis/@_morph,word/11/@_form,word/11/@_id,word/11/lemma/@_id,word/11/lemma/@_entry,word/11/lemma/@_POS,word/11/lemma/@_TreeTagger,word/11/lemma/@_disambiguated,word/11/lemma/analysis/0/@_morph,word/11/lemma/analysis/1/@_morph,word/12/@_form,word/12/@_id,word/12/lemma/@_id,word/12/lemma/@_entry,word/12/lemma/@_POS,word/12/lemma/@_disambiguated,word/12/lemma/@_TreeTagger,word/12/lemma/analysis/@_morph,word/13/@_form,word/13/@_id,word/13/lemma/@_id,word/13/lemma/@_entry,word/13/lemma/@_POS,word/13/lemma/@_TreeTagger,word/13/lemma/@_disambiguated,word/13/lemma/analysis/@_morph,word/14/@_form,word/14/@_id,word/14/lemma/@_id,word/14/lemma/@_entry,word/14/lemma/@_POS,word/14/lemma/@_disambiguated,word/14/lemma/@_TreeTagger,word/14/lemma/analysis/@_morph,word/15/@_form,word/15/@_id,word/15/lemma/@_id,word/15/lemma/@_entry,word/15/lemma/@_POS,word/15/lemma/@_TreeTagger,word/15/lemma/@_disambiguated,word/15/lemma/analysis/@_morph,word/16/@_form,word/16/@_id,word/16/lemma/@_id,word/16/lemma/@_entry,word/16/lemma/@_POS,word/16/lemma/@_disambiguated,word/16/lemma/@_TreeTagger,word/16/lemma/analysis/@_morph,word/17/@_form,word/17/@_id,word/17/lemma/@_id,word/17/lemma/@_entry,word/17/lemma/@_POS,word/17/lemma/@_TreeTagger,word/17/lemma/@_disambiguated,word/17/lemma/analysis/@_morph,word/18/@_form,word/18/@_id,word/18/lemma/@_id,word/18/lemma/@_entry,word/18/lemma/@_POS,word/18/lemma/@_TreeTagger,word/18/lemma/@_disambiguated,word/18/lemma/analysis/@_morph,punct/0/@_mark,punct/1/@_mark,punct/2/@_mark,punct/3/@_mark,punct/4/@_mark,word/5/lemma/analysis/@_morph,word/9/lemma/analysis/@_morph,word/11/lemma/analysis/@_morph,punct/@_mark,word/8/lemma/analysis/0/@_morph,word/8/lemma/analysis/1/@_morph,word/8/lemma/analysis/2/@_morph,word/9/lemma/analysis/2/@_morph,word/9/lemma/analysis/3/@_morph,word/3/lemma/analysis/0/@_morph,word/3/lemma/analysis/1/@_morph,word/3/lemma/analysis/2/@_morph,word/0/lemma/analysis/0/@_morph,word/0/lemma/analysis/1/@_morph,word/1/lemma/analysis/0/@_morph,word/1/lemma/analysis/1/@_morph,word/2/lemma/analysis/0/@_morph,word/2/lemma/analysis/1/@_morph,word/4/lemma/analysis/0/@_morph,word/4/lemma/analysis/1/@_morph,word/4/lemma/analysis/2/@_morph,word/4/lemma/analysis/3/@_morph,word/4/lemma/analysis/4/@_morph,word/6/lemma/analysis/0/@_morph,word/6/lemma/analysis/1/@_morph,word/10/lemma/analysis/0/@_morph,word/10/lemma/analysis/1/@_morph,word/1/lemma/analysis/2/@_morph,word/1/lemma/analysis/3/@_morph,word/1/lemma/analysis/4/@_morph,word/1/lemma/analysis/5/@_morph,word/1/lemma/analysis/6/@_morph,word/3/lemma/analysis/3/@_morph,word/7/lemma/analysis/0/@_morph,word/7/lemma/analysis/1/@_morph,word/7/lemma/analysis/2/@_morph,word/0/lemma/analysis/2/@_morph,word/0/lemma/analysis/3/@_morph,word/0/lemma/analysis/4/@_morph,word/8/lemma/analysis/3/@_morph,word/17/lemma/analysis/0/@_morph,word/17/lemma/analysis/1/@_morph,word/13/lemma/analysis/0/@_morph,word/13/lemma/analysis/1/@_morph,word/19/@_form,word/19/@_id,word/19/lemma/@_id,word/19/lemma/@_entry,word/19/lemma/@_POS,word/19/lemma/@_TreeTagger,word/19/lemma/@_disambiguated,word/19/lemma/analysis/@_morph,word/20/@_form,word/20/@_id,word/20/lemma/@_id,word/20/lemma/@_entry,word/20/lemma/@_POS,word/20/lemma/@_TreeTagger,word/20/lemma/@_disambiguated,word/20/lemma/analysis/@_morph,word/21/@_form,word/21/@_id,word/21/lemma/@_id,word/21/lemma/@_entry,word/21/lemma/@_POS,word/21/lemma/@_TreeTagger,word/21/lemma/@_disambiguated,word/21/lemma/analysis/@_morph,word/22/@_form,word/22/@_id,word/22/lemma/@_id,word/22/lemma/@_entry,word/22/lemma/@_POS,word/22/lemma/@_TreeTagger,word/22/lemma/@_disambiguated,word/22/lemma/analysis/@_morph,word/11/lemma/analysis/2/@_morph,word/13/lemma/analysis/2/@_morph,word/5/lemma/analysis/2/@_morph,word/5/lemma/analysis/3/@_morph,word/5/lemma/analysis/4/@_morph,word/5/lemma/analysis/5/@_morph,word/14/lemma/analysis/0/@_morph,word/14/lemma/analysis/1/@_morph,word/16/lemma/analysis/0/@_morph,word/16/lemma/analysis/1/@_morph,word/20/lemma/analysis/0/@_morph,word/20/lemma/analysis/1/@_morph,word/8/lemma/analysis/4/@_morph
1,1,a)mfi\,1,5704,ἀμφί,preposition,false,n/a,indeclform (prep),*diw/nuson,2,27219,Διόνυσος,proper,false,n/a,masc acc sg (epic),*seme/lhs,3,nlsj9892,Σεμέλη,proper,false,n/a,fem gen sg (attic epic ionic),e)rikude/os,4,42468,ἐρικυδής,adjective,false,n/a,masc/fem/neut gen sg (epic doric ionic aeolic),ui(o/n,5,106566,υἱός,noun,false,n/a,masc acc sg,mnh/somai,6,67868,μιμνήσκω,verb,false,n/a,aor subj mid 1st sg (epic),fut ind mid 1st sg,w(s,7,116401,ὡς,conjunction,false,n/a,proclitic indeclform (conj),e)fa/nh,8,110114,φαίνω,verb,0.5,true,aor ind pass 3rd sg,para\,9,77763,παρά,preposition,1.0,true,indeclform (prep),qi=n',10,48880,θίς,noun,false,n/a,masc/fem acc sg,masc/fem nom/voc/acc dual,a(lo\s,11,4670,ἅλς,adjective,false,n/a,masc/fem gen sg,a)truge/toio,12,17229,ἀτρύγετος,adjective,false,n/a,masc/neut gen sg (epic),masc/fem/neut gen sg (epic),a)kth=|,13,3716,ἀκτέα,noun,0.5,true,fem dat sg (attic epic ionic),e)/pi,14,nlsj126,ἐπί,preposition,false,n/a,indeclform (prep),problh=ti,15,86836,προβλῆτις,adjective,1.0,true,fem voc sg,nehni/h|,16,nlsj76164,νεανίης,noun,false,n/a,masc dat sg (epic ionic),a)ndri\,17,7949,ἀνδρίς,noun,0.5,true,fem voc sg,e)oikw/s,18,37776,ἔοικα,verb,false,n/a,perf part act masc nom/voc sg,prwqh/bh|,19,90860,πρωθήβης,noun,false,n/a,masc dat sg (attic epic ionic),",",",",",",",",:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,kalai\,1,nlsj62000,κάλαις,noun,false,0.5,fem voc sg,de\,2,23596,δέ,particle,false,n/a,indeclform (particle),perissei/onto,3,82081,περισείομαι,verb,false,n/a,imperf ind mp 3rd pl (homeric ionic),e)/qeirai,4,30749,ἔθειρα,noun,false,n/a,fem nom/voc pl,kua/neai,5,60438,κυάνεος,adjective,true,1.0,fem nom/voc pl,fa=ros,6,110368,φᾶρος,noun,false,n/a,,,de\,7,23596,δέ,particle,false,n/a,indeclform (particle),peri\,8,81017,περί,preposition,n/a,false,indeclform (prep),stibaroi=s,9,96767,στιβαρός,adjective,n/a,false,masc/neut dat pl,e)/xen,10,45996,ἔχω,verb,false,n/a,pres inf act (epic doric),imperf ind act 3rd sg (homeric ionic),w)/mois,11,116218,ὦμος,noun,false,n/a,masc dat pl,porfu/reon,12,85837,πορφύρεος,adjective,true,1.0,masc acc sg,neut nom/voc/acc sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",",",:,,,neut nom/voc/acc sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,ta/xa,1,102668,τάχα,adjective,true,0.5,indeclform (adverb),d',2,23596,δέ,particle,false,n/a,indeclform (particle),a)/ndres,3,8665,ἀνήρ,noun,false,n/a,masc nom/voc pl,e)usse/lmou,4,45106,εὔσελμος,adjective,false,n/a,masc/fem/neut gen sg (epic),a)po\,5,12243,ἀπό,preposition,false,n/a,indeclform (prep),nho\s,6,69714,ναός,noun,true,0.5,,,lhistai\,7,nlsj70662,ληιστής,noun,true,0.5,masc nom/voc pl,proge/nonto,8,86900,προγίγνομαι,verb,n/a,false,aor ind mid 3rd pl (homeric ionic),qow=s,9,48951,θοός,adjective,1.0,true,adverbial,e)pi\,10,nlsj126,ἐπί,preposition,false,n/a,,,oi)/nopa,11,72586,οἶνοψ,noun,false,n/a,masc acc sg,po/nton,12,85696,πόντος,noun,false,n/a,,,*turshnoi/,13,106037,Τυρσηνός,proper,n/a,false,masc nom/voc pl (attic ionic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",:,,,,masc nom sg (epic ionic),indeclform (prep),masc acc sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,tou\s,1,71882,ὁ,article,false,n/a,masc acc pl,d',2,23596,δέ,particle,false,n/a,indeclform (particle),h)=ge,3,1083,ἄγω,verb,false,n/a,imperf ind act 3rd sg (attic epic ionic),kako\s,4,52332,κακός,adjective,false,n/a,masc nom sg,mo/ros,5,68778,μόρος,noun,false,n/a,masc nom sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,oi(\,1,29856,ἕ,pronoun,true,0.5,masc/fem dat sg (epic ionic),de\,2,23596,δέ,particle,false,n/a,indeclform (particle),i)do/ntes,3,nlsj11198,εἶδον,verb,false,n/a,aor part act masc nom/voc pl,neu=san,4,70564,νέω,verb,true,0.2,pres part act fem acc sg (epic doric ionic),e)s,5,31235,εἰς,preposition,false,n/a,proclitic indeclform (prep),a)llh/lous,6,4430,ἀλλήλων,pronoun,false,n/a,,,ta/xa,7,102668,τάχα,adjective,true,0.5,indeclform (adverb),d',8,23596,δέ,particle,n/a,false,indeclform (particle),e)/kqoron,9,32049,ἐκθρῴσκω,verb,n/a,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",.,,,,masc acc pl,,,,aor ind act 3rd pl (homeric ionic),aor ind act 1st sg (homeric ionic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,ai)=ya,1,2809,αἶψα,adverb,false,n/a,indeclform (adverb),d',2,23596,δέ,particle,false,n/a,indeclform (particle),e(lo/ntes,3,2654,αἱρέω,verb,false,n/a,aor part act masc nom/voc pl,ei(=san,4,30743,ἕζομαι,verb,true,0.33,aor ind act 3rd pl (epic),e)pi\,5,nlsj126,ἐπί,preposition,false,n/a,indeclform (prep),sfete/rhs,6,101655,σφέτερος,adjective,false,n/a,,,nho\s,7,69714,ναός,noun,true,0.5,masc nom sg (epic ionic),kexarhme/noi,8,112934,χαίρω,verb,n/a,false,perf part mp masc nom/voc pl,h)=tor,9,47643,ἦτορ,noun,n/a,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fem gen sg (epic ionic),,,.,neut voc sg,neut acc sg,neut nom sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11,ui(o\n,1,106566,υἱός,noun,false,n/a,masc acc sg,ga/r,2,21618,γάρ,particle,false,n/a,indeclform (particle),min,3,67878,μιν,pronoun,false,n/a,masc/fem/neut acc 3rd sg (epic ionic),e)/fanto,4,110639,φημί,verb,false,n/a,aor ind mid 3rd pl (epic),diotrefe/wn,5,27322,Διοτρεφής,proper,false,n/a,masc/fem/neut gen pl (epic doric ionic aeolic),basilh/wn,6,19546,βασιλεύς,noun,false,n/a,,,ei)=nai,7,31130,εἰμί,verb,false,n/a,pres inf act,kai\,8,51951,καί,conjunction,n/a,false,indeclform (conj),desmoi=s,9,24184,δεσμός,noun,1.0,true,,e)/qelon,10,30790,ἐθέλω,verb,false,n/a,imperf ind act 3rd pl,imperf ind act 1st sg,dei=n,11,24292,δέω,verb,true,0.33,pres inf act (attic epic doric),a)rgale/oisi,12,14751,ἀργαλέος,adjective,false,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,masc gen pl (epic ionic),,masc/neut dat pl (epic ionic aeolic),.,masc dat pl,neut dat pl,,imperf ind act 3rd pl (homeric ionic),imperf ind act 1st sg (homeric ionic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,13,to\n,1,71882,ὁ,article,false,n/a,masc acc sg,d',2,23596,δέ,particle,false,n/a,indeclform (particle),ou)k,3,75730,οὐ,adverb,false,n/a,proclitic indeclform (adverb),i)/sxane,4,51298,ἰσχάνω,verb,false,n/a,,desma/,5,24184,δεσμός,noun,false,n/a,neut nom/voc/acc pl,lu/goi,6,64042,λύγος,noun,false,n/a,,,d',7,23596,δέ,particle,false,n/a,indeclform (particle),a)po\,8,12243,ἀπό,preposition,n/a,false,indeclform (prep),thlo/se,9,103837,τηλόσε,adverb,n/a,false,indeclform (adverb),pi=pton,10,83253,πίπτω,verb,false,n/a,pres part act masc voc sg,pres part act neut nom/voc/acc sg,xeirw=n,11,113560,χείρ,noun,true,1.0,fem gen pl,h)de\,12,46642,ἠδέ,conjunction,false,n/a,,,podw=n,13,86108,πούς,noun,1.0,true,masc gen pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",:,,,,fem nom/voc pl,,indeclform (conj),,,,,imperf ind act 3rd pl (homeric ionic),imperf ind act 1st sg (homeric ionic),imperf ind act 3rd sg (epic),pres imperat act 2nd sg (epic),imperf ind act 3rd sg (epic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,14,o(\,1,75512,ὅς,pronoun,true,1.0,neut nom/voc/acc sg,de\,2,23596,δέ,particle,false,n/a,indeclform (particle),meidia/wn,3,unknown,,,false,n/a,,e)ka/qhto,4,nlsj16622,κατακάθημαι,verb,false,n/a,imperf ind mid 3rd sg,o)/mmasi,5,73517,ὄμμα,noun,false,n/a,neut dat pl,kuane/oisi,6,60438,κυάνεος,adjective,true,1.0,masc/neut dat pl (epic ionic aeolic),masc/neut dat pl (epic ionic aeolic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,15,kubernh/ths,1,60495,κυβερνήτης,noun,false,n/a,masc nom sg,de\,2,23596,δέ,particle,false,n/a,indeclform (particle),noh/sas,3,70910,νοέω,verb,false,n/a,aor part act masc nom/voc sg (attic epic ionic),au)ti/ka,4,17595,αὐτίκα,adverb,false,n/a,indeclform (adverb),oi(=s,5,75512,ὅς,pronoun,false,n/a,masc/neut dat pl,e(ta/roisin,6,43089,ἑταῖρος,noun,false,n/a,,,e)ke/kleto,7,56521,κέλομαι,verb,false,n/a,aor ind mid 3rd sg,fw/nhse/n,8,112832,φωνέω,verb,n/a,false,aor ind act 3rd sg (homeric ionic),te,9,102752,τε,particle,n/a,false,enclitic indeclform (particle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,masc dat pl (epic ionic aeolic),,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
