@_id,@_location,word/0/@_form,word/0/@_id,word/0/lemma/@_id,word/0/lemma/@_entry,word/0/lemma/@_POS,word/0/lemma/@_disambiguated,word/0/lemma/@_TreeTagger,word/0/lemma/analysis/@_morph,word/1/@_form,word/1/@_id,word/1/lemma/@_id,word/1/lemma/@_entry,word/1/lemma/@_POS,word/1/lemma/@_TreeTagger,word/1/lemma/@_disambiguated,word/1/lemma/analysis/0/@_morph,word/1/lemma/analysis/1/@_morph,word/2/@_form,word/2/@_id,word/2/lemma/@_id,word/2/lemma/@_entry,word/2/lemma/@_POS,word/2/lemma/@_TreeTagger,word/2/lemma/@_disambiguated,word/2/lemma/analysis/@_morph,word/3/@_form,word/3/@_id,word/3/lemma/@_id,word/3/lemma/@_entry,word/3/lemma/@_POS,word/3/lemma/@_TreeTagger,word/3/lemma/@_disambiguated,word/3/lemma/analysis/0/@_morph,word/3/lemma/analysis/1/@_morph,word/4/@_form,word/4/@_id,word/4/lemma/@_id,word/4/lemma/@_entry,word/4/lemma/@_POS,word/4/lemma/@_TreeTagger,word/4/lemma/@_disambiguated,word/4/lemma/analysis/@_morph,word/5/@_form,word/5/@_id,word/5/lemma/@_id,word/5/lemma/@_TreeTagger,word/5/lemma/@_disambiguated,word/6/@_form,word/6/@_id,word/6/lemma/@_id,word/6/lemma/@_entry,word/6/lemma/@_POS,word/6/lemma/@_TreeTagger,word/6/lemma/@_disambiguated,word/6/lemma/analysis/@_morph,word/7/@_form,word/7/@_id,word/7/lemma/@_id,word/7/lemma/@_entry,word/7/lemma/@_POS,word/7/lemma/@_TreeTagger,word/7/lemma/@_disambiguated,word/7/lemma/analysis/0/@_morph,word/7/lemma/analysis/1/@_morph,word/8/@_form,word/8/@_id,word/8/lemma/@_id,word/8/lemma/@_entry,word/8/lemma/@_POS,word/8/lemma/@_TreeTagger,word/8/lemma/@_disambiguated,word/8/lemma/analysis/@_morph,word/9/@_form,word/9/@_id,word/9/lemma/@_id,word/9/lemma/@_TreeTagger,word/9/lemma/@_disambiguated,punct/@_mark,word/1/lemma/analysis/@_morph,word/2/lemma/analysis/0/@_morph,word/2/lemma/analysis/1/@_morph,word/3/lemma/analysis/@_morph,word/7/lemma/analysis/@_morph,word/9/lemma/@_entry,word/9/lemma/@_POS,word/9/lemma/analysis/@_morph,word/10/@_form,word/10/@_id,word/10/lemma/@_id,word/10/lemma/@_entry,word/10/lemma/@_POS,word/10/lemma/@_TreeTagger,word/10/lemma/@_disambiguated,word/10/lemma/analysis/@_morph,word/11/@_form,word/11/@_id,word/11/lemma/@_id,word/11/lemma/@_entry,word/11/lemma/@_POS,word/11/lemma/@_TreeTagger,word/11/lemma/@_disambiguated,word/11/lemma/analysis/@_morph,word/12/@_form,word/12/@_id,word/12/lemma/@_id,word/12/lemma/@_entry,word/12/lemma/@_POS,word/12/lemma/@_TreeTagger,word/12/lemma/@_disambiguated,word/12/lemma/analysis/0/@_morph,word/12/lemma/analysis/1/@_morph,word/13/@_form,word/13/@_id,word/13/lemma/@_id,word/13/lemma/@_entry,word/13/lemma/@_POS,word/13/lemma/@_TreeTagger,word/13/lemma/@_disambiguated,word/13/lemma/analysis/@_morph,word/14/@_form,word/14/@_id,word/14/lemma/@_id,word/14/lemma/@_entry,word/14/lemma/@_POS,word/14/lemma/@_disambiguated,word/14/lemma/@_TreeTagger,word/14/lemma/analysis/@_morph,word/15/@_form,word/15/@_id,word/15/lemma/@_id,word/15/lemma/@_entry,word/15/lemma/@_POS,word/15/lemma/@_TreeTagger,word/15/lemma/@_disambiguated,word/15/lemma/analysis/@_morph,word/16/@_form,word/16/@_id,word/16/lemma/@_id,word/16/lemma/@_entry,word/16/lemma/@_POS,word/16/lemma/@_TreeTagger,word/16/lemma/@_disambiguated,word/16/lemma/analysis/@_morph,word/17/@_form,word/17/@_id,word/17/lemma/@_id,word/17/lemma/@_entry,word/17/lemma/@_POS,word/17/lemma/@_TreeTagger,word/17/lemma/@_disambiguated,word/17/lemma/analysis/@_morph,word/18/@_form,word/18/@_id,word/18/lemma/@_id,word/18/lemma/@_entry,word/18/lemma/@_POS,word/18/lemma/@_disambiguated,word/18/lemma/@_TreeTagger,word/18/lemma/analysis/0/@_morph,word/18/lemma/analysis/1/@_morph,word/18/lemma/analysis/2/@_morph,word/18/lemma/analysis/3/@_morph,word/18/lemma/analysis/4/@_morph,word/19/@_form,word/19/@_id,word/19/lemma/@_id,word/19/lemma/@_entry,word/19/lemma/@_POS,word/19/lemma/@_TreeTagger,word/19/lemma/@_disambiguated,word/19/lemma/analysis/@_morph,word/20/@_form,word/20/@_id,word/20/lemma/@_id,word/20/lemma/@_entry,word/20/lemma/@_POS,word/20/lemma/@_TreeTagger,word/20/lemma/@_disambiguated,word/20/lemma/analysis/@_morph,word/21/@_form,word/21/@_id,word/21/lemma/@_id,word/21/lemma/@_entry,word/21/lemma/@_POS,word/21/lemma/@_TreeTagger,word/21/lemma/@_disambiguated,word/21/lemma/analysis/@_morph,word/22/@_form,word/22/@_id,word/22/lemma/@_id,word/22/lemma/@_entry,word/22/lemma/@_POS,word/22/lemma/@_TreeTagger,word/22/lemma/@_disambiguated,word/22/lemma/analysis/@_morph,word/23/@_form,word/23/@_id,word/23/lemma/@_id,word/23/lemma/@_entry,word/23/lemma/@_POS,word/23/lemma/@_TreeTagger,word/23/lemma/@_disambiguated,word/23/lemma/analysis/0/@_morph,word/23/lemma/analysis/1/@_morph,word/24/@_form,word/24/@_id,word/24/lemma/@_id,word/24/lemma/@_entry,word/24/lemma/@_POS,word/24/lemma/@_TreeTagger,word/24/lemma/@_disambiguated,word/24/lemma/analysis/0/@_morph,word/24/lemma/analysis/1/@_morph,word/25/@_form,word/25/@_id,word/25/lemma/@_id,word/25/lemma/@_entry,word/25/lemma/@_POS,word/25/lemma/@_TreeTagger,word/25/lemma/@_disambiguated,word/25/lemma/analysis/@_morph,word/26/@_form,word/26/@_id,word/26/lemma/@_id,word/26/lemma/@_entry,word/26/lemma/@_POS,word/26/lemma/@_TreeTagger,word/26/lemma/@_disambiguated,word/26/lemma/analysis/@_morph,word/27/@_form,word/27/@_id,word/27/lemma/@_id,word/27/lemma/@_entry,word/27/lemma/@_POS,word/27/lemma/@_TreeTagger,word/27/lemma/@_disambiguated,word/27/lemma/analysis/@_morph,punct/0/@_mark,punct/1/@_mark,punct/2/@_mark,word/5/lemma/@_entry,word/5/lemma/@_POS,word/5/lemma/analysis/@_morph,word/6/lemma/analysis/0/@_morph,word/6/lemma/analysis/1/@_morph,word/11/lemma/analysis/0/@_morph,word/11/lemma/analysis/1/@_morph,word/5/lemma/analysis/0/@_morph,word/5/lemma/analysis/1/@_morph,word/6/lemma/analysis/2/@_morph,word/6/lemma/analysis/3/@_morph,word/12/lemma/analysis/@_morph,word/15/lemma/analysis/0/@_morph,word/15/lemma/analysis/1/@_morph,word/15/lemma/analysis/2/@_morph,word/15/lemma/analysis/3/@_morph,word/4/lemma/analysis/0/@_morph,word/4/lemma/analysis/1/@_morph,word/8/lemma/analysis/0/@_morph,word/8/lemma/analysis/1/@_morph,word/19/lemma/analysis/0/@_morph,word/19/lemma/analysis/1/@_morph,word/19/lemma/analysis/2/@_morph,word/23/lemma/analysis/@_morph,word/24/lemma/analysis/@_morph,word/4/lemma/analysis/2/@_morph,word/4/lemma/analysis/3/@_morph,word/4/lemma/analysis/4/@_morph,word/5/lemma/analysis/2/@_morph,word/5/lemma/analysis/3/@_morph,word/13/lemma/analysis/0/@_morph,word/13/lemma/analysis/1/@_morph,word/13/lemma/analysis/2/@_morph,word/18/lemma/analysis/@_morph,word/14/lemma/analysis/0/@_morph,word/14/lemma/analysis/1/@_morph,punct/3/@_mark,punct/4/@_mark,punct/5/@_mark,word/3/lemma/analysis/2/@_morph,word/9/lemma/analysis/0/@_morph,word/9/lemma/analysis/1/@_morph,word/12/lemma/analysis/2/@_morph,word/0/lemma/analysis/0/@_morph,word/0/lemma/analysis/1/@_morph,word/0/lemma/analysis/2/@_morph,word/25/lemma/analysis/0/@_morph,word/25/lemma/analysis/1/@_morph,word/7/lemma/analysis/2/@_morph,word/7/lemma/analysis/3/@_morph,word/15/lemma/analysis/4/@_morph,word/16/lemma/analysis/0/@_morph,word/16/lemma/analysis/1/@_morph,word/16/lemma/analysis/2/@_morph,word/16/lemma/analysis/3/@_morph,word/20/lemma/analysis/0/@_morph,word/20/lemma/analysis/1/@_morph,word/20/lemma/analysis/2/@_morph,word/20/lemma/analysis/3/@_morph,word/20/lemma/analysis/4/@_morph,word/7/lemma/analysis/4/@_morph,word/17/lemma/analysis/0/@_morph,word/17/lemma/analysis/1/@_morph,word/9/lemma/analysis/2/@_morph,word/9/lemma/analysis/3/@_morph,word/11/lemma/analysis/2/@_morph,word/22/lemma/analysis/0/@_morph,word/22/lemma/analysis/1/@_morph,word/28/@_form,word/28/@_id,word/28/lemma/@_id,word/28/lemma/@_entry,word/28/lemma/@_POS,word/28/lemma/@_TreeTagger,word/28/lemma/@_disambiguated,word/28/lemma/analysis/@_morph,word/29/@_form,word/29/@_id,word/29/lemma/@_id,word/29/lemma/@_entry,word/29/lemma/@_POS,word/29/lemma/@_disambiguated,word/29/lemma/@_TreeTagger,word/29/lemma/analysis/0/@_morph,word/29/lemma/analysis/1/@_morph,word/29/lemma/analysis/2/@_morph,word/29/lemma/analysis/3/@_morph,word/30/@_form,word/30/@_id,word/30/lemma/@_id,word/30/lemma/@_entry,word/30/lemma/@_POS,word/30/lemma/@_TreeTagger,word/30/lemma/@_disambiguated,word/30/lemma/analysis/0/@_morph,word/30/lemma/analysis/1/@_morph,word/30/lemma/analysis/2/@_morph,word/30/lemma/analysis/3/@_morph,punct/6/@_mark,word/10/lemma/analysis/0/@_morph,word/10/lemma/analysis/1/@_morph,word/17/lemma/analysis/2/@_morph,word/17/lemma/analysis/3/@_morph,word/6/lemma/analysis/4/@_morph,word/0/lemma/analysis/3/@_morph,word/0/lemma/analysis/4/@_morph,word/13/lemma/analysis/3/@_morph,word/13/lemma/analysis/4/@_morph,word/22/lemma/analysis/2/@_morph,word/2/lemma/analysis/2/@_morph,word/2/lemma/analysis/3/@_morph,word/10/lemma/analysis/2/@_morph,word/1/lemma/analysis/2/@_morph,word/3/lemma/analysis/3/@_morph,word/3/lemma/analysis/4/@_morph,word/11/lemma/analysis/3/@_morph,word/27/lemma/analysis/0/@_morph,word/27/lemma/analysis/1/@_morph,word/27/lemma/analysis/2/@_morph,word/8/lemma/analysis/2/@_morph,word/8/lemma/analysis/3/@_morph,word/10/lemma/analysis/3/@_morph,word/10/lemma/analysis/4/@_morph,word/10/lemma/analysis/5/@_morph,word/14/lemma/analysis/2/@_morph,word/21/lemma/analysis/0/@_morph,word/21/lemma/analysis/1/@_morph,word/28/lemma/analysis/0/@_morph,word/28/lemma/analysis/1/@_morph
1,6,tw=,1,71882,ὁ,article,0.5,false,masc/neut gen sg (doric aeolic),kala/qw,2,52469,κάλαθος,noun,false,n/a,masc nom/voc/acc dual,masc gen sg (doric aeolic),katio/ntos,3,55728,κάτειμι,verb,false,n/a,pres part act masc/neut gen sg,e)pifqe/gcasqe,4,41507,ἐπιφθέγγομαι,verb,false,n/a,aor imperat mid 2nd pl,aor ind mid 2nd pl (homeric ionic),gunai=kes,5,23069,γυνή,noun,false,n/a,fem nom/voc pl,'*da/mater,6,unknown,false,n/a,me/ga,7,65552,μέγας,adverb,false,n/a,neut nom/voc/acc sg,xai=re,8,112934,χαίρω,verb,false,n/a,pres imperat act 2nd sg,imperf ind act 3rd sg (homeric ionic),polu/trofe,9,85456,πολύτροφος,adjective,false,n/a,masc/fem voc sg,poulume/dimne',10,unknown,false,n/a,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,to\n,1,71882,ὁ,article,n/a,false,masc acc sg,ka/laqon,2,52469,κάλαθος,noun,false,n/a,,,katio/nta,3,55728,κάτειμι,verb,false,n/a,,xamai\,4,113224,χαμαί,adverb,false,n/a,,,qasei=sqe,5,unknown,,,false,n/a,,be/baloi,6,unknown,false,n/a,mhd',7,67299,μηδέ,particle,false,n/a,indeclform (particle),a)po\,8,12243,ἀπό,preposition,false,n/a,,,tw=,9,71882,ὁ,article,true,1.0,masc/neut gen sg (doric aeolic),te/geos,10,102768,true,1.0,,masc acc sg,pres part act masc acc sg,pres part act neut nom/voc/acc pl,indeclform (adverb),indeclform (prep),τέγος,noun,neut gen sg (epic doric ionic aeolic),mhd',11,67299,μηδέ,particle,false,n/a,indeclform (particle),u(yo/qen,12,110006,ὑψόθεν,adverb,false,n/a,indeclform (adverb),au)ga/sshsqe,13,17317,αὐγάζω,verb,false,n/a,aor subj mid 2nd pl,aor subj act 2nd pl (epic),mh\,14,67283,μή,conjunction,false,n/a,indeclform (conj),pai=s,15,79904,πᾶς,adjective,0.5,true,masc nom/voc sg (doric aeolic),mhde\,16,67299,μηδέ,particle,false,n/a,indeclform (particle),guna\,17,23069,γυνή,noun,false,n/a,fem nom sg (doric),mhd',18,67299,μηδέ,particle,false,n/a,indeclform (particle),a(\,19,75512,ὅς,pronoun,1.0,true,neut acc pl,neut nom pl,fem acc dual,fem nom dual,fem nom sg (doric aeolic),katexeu/ato,20,55595,καταχέω,verb,false,n/a,aor ind mid 3rd sg (epic),xai/tan,21,112936,χαίτη,noun,false,n/a,fem acc sg (doric aeolic),mhd',22,67299,μηδέ,particle,false,n/a,indeclform (particle),o(/k',23,75688,ὅτε,conjunction,false,n/a,doric (indeclform conj),a)f',24,12243,ἀπό,preposition,false,n/a,indeclform (prep),poetic indeclform (prep),au(ale/wn,25,17310,αὐαλέος,adjective,false,n/a,fem gen pl,masc/neut gen pl,stoma/twn,26,96981,στόμα,noun,false,n/a,neut gen pl,ptu/wmes,27,91268,πτύω,verb,false,n/a,pres subj act 1st pl (doric),a)/pastoi,28,11593,ἄπαστος,adjective,false,n/a,masc/fem nom/voc pl,",",",",.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,e(/speros,1,42938,ἕσπερος,adjective,n/a,false,masc/fem nom sg,e)k,2,31575,ἐκ,preposition,false,n/a,,,nefe/wn,3,70550,νέφος,noun,false,n/a,neut gen pl (epic doric ionic aeolic),e)ske/yato,4,94711,σκέπτομαι,verb,false,n/a,,,pani/ka,5,unknown,,,false,n/a,,nei=tai),6,70312,true,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proclitic indeclform (prep),,,aor ind mp 3rd sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(,;,,νέομαι,verb,pres ind mp 3rd sg (attic epic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,e(/speros,1,42938,ἕσπερος,adjective,n/a,false,masc/fem nom sg,o(/ste,2,75588,ὅστε,pronoun,false,n/a,,,piei=n,3,83231,πίνω,verb,false,n/a,aor inf act (attic epic doric),*dama/tera,4,unknown,,,false,n/a,,,mw=nos,5,68641,μόνος,adjective,false,n/a,masc nom sg (doric),e)/peisen,6,45772,true,0.5,a(rpagi/mas,7,15394,ἁρπάγιμος,adjective,false,n/a,,o(/k',8,75688,ὅτε,conjunction,false,n/a,,,a)/pusta,9,14594,ἄπυστος,adjective,false,n/a,neut nom/voc/acc pl,mete/stixen,10,66949,false,n/a,,masc nom/voc sg (attic),,,,doric (indeclform conj),μεταστείχω,verb,aor ind act 3rd sg,i)/xnia,11,51523,ἴχνιον,noun,false,n/a,neut nom/voc/acc pl,kw/ras,12,59098,κόρη,noun,true,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",",",.,ἐφίζω,verb,aor ind act 3rd sg (ionic),fem acc pl,fem gen sg (doric aeolic),fem acc pl (doric),fem gen sg (attic doric aeolic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,po/tnia,1,86069,πότνια,noun,n/a,false,fem nom/voc sg,pw=s,2,92010,πῶς,adverb,true,0.5,,,se,3,97456,σύ,pronoun,false,n/a,acc 2nd sg,du/nanto,4,28566,δύναμαι,verb,false,n/a,,,po/des,5,86108,πούς,noun,false,n/a,masc nom/voc pl,fe/ren,6,110598,false,n/a,e)/st',7,31130,εἰμί,verb,true,1.0,,e)pi\,8,nlsj126,ἐπί,preposition,false,n/a,,,duqma/s,9,28561,δυθμή,adjective,false,n/a,fem acc pl,e)/st',10,42974,true,1.0,,indeclform (interrog),,,imperf ind mp 3rd pl (homeric ionic),indeclform (prep),ἔστε,conjunction,indeclform (conj),e)pi\,11,nlsj126,ἐπί,preposition,false,n/a,indeclform (prep),tw\s,12,106114,τώς,adverb,true,1.0,indeclform (adverb),me/lanas,13,65934,μέλας,adjective,false,n/a,,,kai\,14,51951,καί,conjunction,false,n/a,indeclform (conj),o(/pa,15,74432,ὅπη,adverb,n/a,false,doric (indeclform adverb),ta\,16,71882,ὁ,article,true,1.0,,xru/sea,17,114816,χρύσεος,adjective,false,n/a,neut nom/voc/acc pl,ma=la,18,nlsj71749,μᾶλον,noun,true,0.5,neut nom/voc/acc pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",;,,φέρω,verb,,pres ind act 3rd sg,pres ind act 2nd pl,,,pres inf act (epic doric),imperf ind act 3rd sg (homeric ionic),pres imperat act 2nd pl,fut ind mid 3rd sg,masc acc pl,neut acc pl,neut nom/voc/acc pl,fem acc dual,fem nom/voc/acc dual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,ou),1,75730,οὐ,adverb,n/a,false,proclitic indeclform (adverb),pi/es,2,83231,πίνω,verb,false,n/a,,,ou)d',3,75764,οὐδέ,particle,false,0.33,indeclform (particle),a)/r',4,14639,ἄρα,particle,true,1.0,,,e)/des,5,30728,ἔδω,verb,false,n/a,,th=non,6,31951,true,0.5,xro/non,7,114753,χρόνος,noun,false,n/a,masc acc sg,ou)de\,8,75764,οὐδέ,particle,false,0.33,,,loe/ssa,9,unknown,,,false,n/a,,,,,,,.,aor ind act 2nd sg (homeric ionic),,,indeclform (particle),indeclform (particle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐκεῖνος,pronoun,masc acc sg (doric),,,,,,,,,,,,,,pres ind act 2nd sg (epic doric),imperf ind act 2nd sg (epic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,tri\s,1,105198,τρίς,adverb,n/a,false,indeclform (adverb),me\n,2,66260,μέν,particle,false,n/a,,,dh\,3,24295,δή,particle,false,n/a,indeclform (particle),die/bas,4,24522,διαβαίνω,verb,false,n/a,aor ind act 2nd sg (epic),aor ind act 2nd sg (doric),*)axelw/ion,5,nlsj3031,Ἀχελώιος,proper,true,0.5,masc acc sg,a)rgurodi/nan,6,14845,false,n/a,tossa/ki,7,nlsj106886,τοσάκις,adverb,false,n/a,epic (indeclform adverb),d',8,23596,δέ,particle,false,n/a,,,a)ena/wn,9,1692,ἀέναος,adjective,true,0.5,,potamw=n,10,85953,false,n/a,,indeclform (particle),,,,indeclform (particle),ποταμός,noun,masc gen pl,e)pe/rasas,11,40704,ἐπιρραίνω,verb,true,0.33,aor ind act 2nd sg (epic),e(/kaston,12,31598,ἕκαστος,adjective,false,n/a,,tri\s,13,105198,τρίς,adverb,false,n/a,,,d',14,23596,δέ,particle,false,n/a,indeclform (particle),e)pi\,15,nlsj126,ἐπί,preposition,n/a,false,indeclform (prep),*kallixo/rwi,16,unknown,,,false,n/a,,xama/dis,17,113220,χαμάδις,adverb,false,n/a,indeclform (adverb),e)kaqi/ssao,18,51825,καθίζω,verb,false,n/a,aor ind mid 2nd sg (epic),frhti/,19,unknown,,,n/a,false,,,,,,au)stale/a,20,17536,αὐσταλέος,adjective,false,n/a,,a)/poto/s,21,14091,ἄποτος,adjective,false,n/a,masc/fem nom sg,te,22,102752,τε,particle,false,n/a,enclitic indeclform (particle),kai\,23,51951,καί,conjunction,false,n/a,indeclform (conj),ou),24,75730,οὐ,adverb,false,n/a,,,fa/ges,25,42890,ἐσθίω,verb,false,n/a,,,ou)de\,26,75764,οὐδέ,particle,false,0.33,indeclform (particle),loe/ssa,27,unknown,,,false,n/a,,,,,,,,,,",",",",.,ἀργυροδίνης,noun,masc acc sg (epic doric aeolic),,,masc acc sg,neut nom/voc/acc sg,,,,,indeclform (adverb),,,,,,,masc nom sg (epic),masc/fem/neut gen pl,neut nom/voc/acc pl,fem nom/voc/acc dual,fem nom/voc sg (attic doric aeolic),proclitic indeclform (adverb),aor ind act 2nd sg (homeric ionic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6,mh\,1,67283,μή,conjunction,n/a,false,indeclform (conj),mh\,2,67283,μή,conjunction,false,n/a,,,tau=ta,3,76062,οὗτος,pronoun,false,n/a,neut nom/voc/acc pl,le/gwmes,4,62204,λέγω,verb,true,0.33,,,a(\,5,75512,ὅς,pronoun,true,1.0,,da/kruon,6,23292,true,1.0,a)/gage,7,1083,ἄγω,verb,false,n/a,,*dhoi=,8,unknown,,,false,n/a,,,,,,,,,,,,,,,,:,indeclform (conj),,,pres subj act 1st pl (doric),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δάκρυον,noun,neut nom/voc/acc sg,aor imperat act 2nd sg,aor ind act 3rd sg (doric aeolic),,,,,aor ind act 3rd sg (homeric ionic),,,,,,,neut acc pl,neut nom pl,,,,,,,,fem acc dual,fem nom dual,fem nom sg (doric aeolic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6,ka/llion,1,52689,κάλλιον,adverb,0.5,false,indeclform (adverb),w(s,2,116401,ὡς,conjunction,false,n/a,,,poli/essin,3,84494,πόλις,adjective,false,n/a,fem dat pl (epic doric ionic aeolic),e(ado/ta,4,7858,ἁνδάνω,verb,false,n/a,perf part act neut nom/voc/acc pl,perf part act masc acc sg,te/qmia,5,48506,θέσμιος,adjective,true,0.5,neut nom/voc/acc pl (doric),dw=ke,6,26447,false,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proclitic indeclform (conj),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",:,,δίδωμι,verb,aor ind act 3rd sg (homeric ionic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6,ka/llion,1,52689,κάλλιον,adverb,0.5,false,indeclform (adverb),w(s,2,116401,ὡς,conjunction,false,n/a,,,kala/man,3,52489,καλάμη,noun,false,n/a,fem acc sg (doric aeolic),te,4,102752,τε,particle,false,n/a,,,kai\,5,51951,καί,conjunction,false,n/a,indeclform (conj),i(era\,6,50093,true,1.0,dra/gmata,7,28243,δράγμα,noun,false,n/a,neut nom/voc/acc pl,pra/ta,8,nlsj89331,πρᾶτος,adjective,true,0.5,fem nom/voc/acc dual,fem nom/voc sg (doric aeolic),a)staxu/wn,9,16458,ἄσταχυς,noun,false,n/a,masc gen pl,a)pe/koye,10,12912,false,n/a,,proclitic indeclform (conj),,,enclitic indeclform (particle),,ἀποκόπτω,verb,aor ind act 3rd sg,kai\,11,51951,καί,conjunction,false,n/a,indeclform (conj),e)n,12,34700,ἐν,preposition,true,0.5,proclitic indeclform (prep),bo/as,13,20179,βόα,noun,true,0.5,fem acc pl,fem gen sg (doric aeolic),h(=ke,14,46804,ἥκω,verb,true,0.5,,path=sai,15,80008,πατέω,verb,n/a,false,aor inf act,a(ni/ka,16,47405,ἡνίκα,adverb,false,n/a,doric (indeclform adverb),*tripto/lemos,17,105184,Τριπτόλεμος,proper,false,n/a,masc nom sg,a)gaqa\n,18,260,ἀγαθός,adjective,false,n/a,fem acc sg (doric aeolic),e)dida/sketo,19,26412,διδάσκω,verb,n/a,false,,,,,,te/xnan,20,103701,τέχνη,noun,false,n/a,fem acc sg (doric aeolic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",",",:,ἱερός,adjective,,,,,,neut nom/voc/acc pl,fem nom/voc/acc dual,,,,,,,,,,,,,,,,,,,,fem nom/voc sg (attic doric aeolic),neut nom/voc/acc pl,imperf ind act 3rd sg,pres imperat act 2nd sg,imperf ind act 3rd sg (homeric ionic),imperf ind mp 3rd sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
