@_id,@_location,word/0/@_form,word/0/@_id,word/0/lemma/@_id,word/0/lemma/@_entry,word/0/lemma/@_POS,word/0/lemma/@_TreeTagger,word/0/lemma/@_disambiguated,word/0/lemma/analysis/@_morph,word/1/@_form,word/1/@_id,word/1/lemma/@_id,word/1/lemma/@_entry,word/1/lemma/@_POS,word/1/lemma/@_TreeTagger,word/1/lemma/@_disambiguated,word/1/lemma/analysis/@_morph,word/2/@_form,word/2/@_id,word/2/lemma/@_id,word/2/lemma/@_entry,word/2/lemma/@_POS,word/2/lemma/@_TreeTagger,word/2/lemma/@_disambiguated,word/2/lemma/analysis/0/@_morph,word/2/lemma/analysis/1/@_morph,word/3/@_form,word/3/@_id,word/3/lemma/@_id,word/3/lemma/@_entry,word/3/lemma/@_POS,word/3/lemma/@_TreeTagger,word/3/lemma/@_disambiguated,word/3/lemma/analysis/0/@_morph,word/3/lemma/analysis/1/@_morph,word/4/@_form,word/4/@_id,word/4/lemma/@_id,word/4/lemma/@_entry,word/4/lemma/@_POS,word/4/lemma/@_TreeTagger,word/4/lemma/@_disambiguated,word/4/lemma/analysis/@_morph,word/5/@_form,word/5/@_id,word/5/lemma/@_id,word/5/lemma/@_entry,word/5/lemma/@_POS,word/5/lemma/@_disambiguated,word/5/lemma/@_TreeTagger,word/5/lemma/analysis/@_morph,word/6/@_form,word/6/@_id,word/6/lemma/@_id,word/6/lemma/@_entry,word/6/lemma/@_POS,word/6/lemma/@_TreeTagger,word/6/lemma/@_disambiguated,word/6/lemma/analysis/0/@_morph,word/6/lemma/analysis/1/@_morph,word/7/@_form,word/7/@_id,word/7/lemma/@_id,word/7/lemma/@_entry,word/7/lemma/@_POS,word/7/lemma/@_TreeTagger,word/7/lemma/@_disambiguated,word/7/lemma/analysis/@_morph,word/8/@_form,word/8/@_id,word/8/lemma/@_id,word/8/lemma/@_entry,word/8/lemma/@_POS,word/8/lemma/@_TreeTagger,word/8/lemma/@_disambiguated,word/8/lemma/analysis/@_morph,word/9/@_form,word/9/@_id,word/9/lemma/@_id,word/9/lemma/@_entry,word/9/lemma/@_POS,word/9/lemma/@_disambiguated,word/9/lemma/@_TreeTagger,word/9/lemma/analysis/0/@_morph,word/9/lemma/analysis/1/@_morph,word/10/@_form,word/10/@_id,word/10/lemma/@_id,word/10/lemma/@_entry,word/10/lemma/@_POS,word/10/lemma/@_disambiguated,word/10/lemma/@_TreeTagger,word/10/lemma/analysis/0/@_morph,word/10/lemma/analysis/1/@_morph,word/10/lemma/analysis/2/@_morph,word/10/lemma/analysis/3/@_morph,word/11/@_form,word/11/@_id,word/11/lemma/@_id,word/11/lemma/@_entry,word/11/lemma/@_POS,word/11/lemma/@_TreeTagger,word/11/lemma/@_disambiguated,word/11/lemma/analysis/@_morph,word/12/@_form,word/12/@_id,word/12/lemma/@_id,word/12/lemma/@_entry,word/12/lemma/@_POS,word/12/lemma/@_TreeTagger,word/12/lemma/@_disambiguated,word/12/lemma/analysis/@_morph,word/13/@_form,word/13/@_id,word/13/lemma/@_id,word/13/lemma/@_entry,word/13/lemma/@_POS,word/13/lemma/@_TreeTagger,word/13/lemma/@_disambiguated,word/13/lemma/analysis/0/@_morph,word/13/lemma/analysis/1/@_morph,word/13/lemma/analysis/2/@_morph,word/14/@_form,word/14/@_id,word/14/lemma/@_id,word/14/lemma/@_entry,word/14/lemma/@_POS,word/14/lemma/@_TreeTagger,word/14/lemma/@_disambiguated,word/14/lemma/analysis/@_morph,word/15/@_form,word/15/@_id,word/15/lemma/@_id,word/15/lemma/@_entry,word/15/lemma/@_POS,word/15/lemma/@_TreeTagger,word/15/lemma/@_disambiguated,word/15/lemma/analysis/@_morph,word/16/@_form,word/16/@_id,word/16/lemma/@_id,word/16/lemma/@_entry,word/16/lemma/@_POS,word/16/lemma/@_TreeTagger,word/16/lemma/@_disambiguated,word/16/lemma/analysis/@_morph,word/17/@_form,word/17/@_id,word/17/lemma/@_id,word/17/lemma/@_entry,word/17/lemma/@_POS,word/17/lemma/@_TreeTagger,word/17/lemma/@_disambiguated,word/17/lemma/analysis/@_morph,word/18/@_form,word/18/@_id,word/18/lemma/@_id,word/18/lemma/@_entry,word/18/lemma/@_POS,word/18/lemma/@_TreeTagger,word/18/lemma/@_disambiguated,word/18/lemma/analysis/0/@_morph,word/18/lemma/analysis/1/@_morph,word/18/lemma/analysis/2/@_morph,word/19/@_form,word/19/@_id,word/19/lemma/@_id,word/19/lemma/@_entry,word/19/lemma/@_POS,word/19/lemma/@_TreeTagger,word/19/lemma/@_disambiguated,word/19/lemma/analysis/@_morph,word/20/@_form,word/20/@_id,word/20/lemma/@_id,word/20/lemma/@_entry,word/20/lemma/@_POS,word/20/lemma/@_TreeTagger,word/20/lemma/@_disambiguated,word/20/lemma/analysis/@_morph,word/21/@_form,word/21/@_id,word/21/lemma/@_id,word/21/lemma/@_entry,word/21/lemma/@_POS,word/21/lemma/@_TreeTagger,word/21/lemma/@_disambiguated,word/21/lemma/analysis/0/@_morph,word/21/lemma/analysis/1/@_morph,word/21/lemma/analysis/2/@_morph,word/22/@_form,word/22/@_id,word/22/lemma/@_id,word/22/lemma/@_entry,word/22/lemma/@_POS,word/22/lemma/@_TreeTagger,word/22/lemma/@_disambiguated,word/22/lemma/analysis/0/@_morph,word/22/lemma/analysis/1/@_morph,word/22/lemma/analysis/2/@_morph,word/23/@_form,word/23/@_id,word/23/lemma/@_id,word/23/lemma/@_entry,word/23/lemma/@_POS,word/23/lemma/@_TreeTagger,word/23/lemma/@_disambiguated,word/23/lemma/analysis/0/@_morph,word/23/lemma/analysis/1/@_morph,word/23/lemma/analysis/2/@_morph,word/23/lemma/analysis/3/@_morph,word/24/@_form,word/24/@_id,word/24/lemma/@_id,word/24/lemma/@_entry,word/24/lemma/@_POS,word/24/lemma/@_TreeTagger,word/24/lemma/@_disambiguated,word/24/lemma/analysis/@_morph,word/25/@_form,word/25/@_id,word/25/lemma/@_id,word/25/lemma/@_entry,word/25/lemma/@_POS,word/25/lemma/@_TreeTagger,word/25/lemma/@_disambiguated,word/25/lemma/analysis/@_morph,word/26/@_form,word/26/@_id,word/26/lemma/@_id,word/26/lemma/@_entry,word/26/lemma/@_POS,word/26/lemma/@_TreeTagger,word/26/lemma/@_disambiguated,word/26/lemma/analysis/@_morph,word/27/@_form,word/27/@_id,word/27/lemma/@_id,word/27/lemma/@_entry,word/27/lemma/@_POS,word/27/lemma/@_TreeTagger,word/27/lemma/@_disambiguated,word/27/lemma/analysis/@_morph,punct/0/@_mark,punct/1/@_mark,punct/2/@_mark,punct/3/@_mark,punct/4/@_mark,punct/5/@_mark,word/1/lemma/analysis/0/@_morph,word/1/lemma/analysis/1/@_morph,word/2/lemma/analysis/@_morph,word/3/lemma/analysis/@_morph,word/6/lemma/analysis/@_morph,word/7/lemma/analysis/0/@_morph,word/7/lemma/analysis/1/@_morph,word/9/lemma/analysis/@_morph,word/10/lemma/analysis/@_morph,word/13/lemma/analysis/@_morph,word/16/lemma/analysis/0/@_morph,word/16/lemma/analysis/1/@_morph,punct/@_mark,word/0/lemma/analysis/0/@_morph,word/0/lemma/analysis/1/@_morph,word/0/lemma/analysis/2/@_morph,word/6/lemma/analysis/2/@_morph,word/6/lemma/analysis/3/@_morph,word/12/lemma/analysis/0/@_morph,word/12/lemma/analysis/1/@_morph,word/4/lemma/analysis/0/@_morph,word/4/lemma/analysis/1/@_morph,word/4/lemma/analysis/2/@_morph,word/11/lemma/analysis/0/@_morph,word/11/lemma/analysis/1/@_morph,word/15/lemma/analysis/0/@_morph,word/15/lemma/analysis/1/@_morph,word/15/lemma/analysis/2/@_morph,word/18/lemma/analysis/@_morph,word/21/lemma/analysis/@_morph,word/23/lemma/analysis/@_morph,word/3/lemma/analysis/2/@_morph,word/11/lemma/analysis/2/@_morph,word/11/lemma/analysis/3/@_morph,word/11/lemma/analysis/4/@_morph,word/11/lemma/analysis/5/@_morph
1,1,gai=an,1,21401,γαῖα,noun,false,n/a,fem acc sg,pammh/teiran,2,77084,παμμήτειρα,noun,false,n/a,fem acc sg,a)ei/somai,3,1587,ἀείδω,verb,false,n/a,aor subj mid 1st sg (epic ionic),fut ind mid 1st sg (epic doric ionic aeolic),h)uqe/meqlon,4,nlsj59893,ἠυθέμεθλος,adjective,false,n/a,masc/fem acc sg,neut nom/voc/acc sg,presbi/sthn,5,86299,πρέσβιστος,adjective,false,n/a,fem acc sg (attic epic ionic),h(\,6,75512,ὅς,pronoun,1.0,true,fem nom sg (attic homeric ionic),fe/rbei,7,110542,φέρβω,verb,false,n/a,pres ind mp 2nd sg,pres ind act 3rd sg,e)pi\,8,nlsj126,ἐπί,preposition,false,n/a,indeclform (prep),xqoni\,9,113963,χθών,noun,false,n/a,fem dat sg,pa/nq',10,79904,πᾶς,adjective,1.0,true,masc acc sg,neut nom/voc/acc pl,o(po/s',11,74621,ὁπόσος,adjective,1.0,true,neut nom/voc/acc pl,masc voc sg,fem nom/voc pl,fem dat sg (doric aeolic),e)sti/n,12,31130,εἰμί,verb,false,n/a,pres ind act 3rd sg,h)me\n,13,46965,ἠμέν,conjunction,false,n/a,epic (indeclform conj),o(/sa,14,75552,ὅσος,adjective,false,n/a,neut nom/voc/acc pl,fem nom/voc/acc dual,fem nom/voc sg (doric aeolic),xqo/na,15,113963,χθών,noun,false,n/a,fem acc sg,di=an,16,27293,δῖος,adjective,false,n/a,fem acc sg (epic),e)pe/rxetai,17,38732,ἐπέρχομαι,verb,false,n/a,pres ind mp 3rd sg,h)d',18,46642,ἠδέ,conjunction,false,n/a,indeclform (conj),o(/sa,19,75552,ὅσος,adjective,false,n/a,neut nom/voc/acc pl,fem nom/voc/acc dual,fem nom/voc sg (doric aeolic),po/nton,20,85696,πόντος,noun,false,n/a,masc acc sg,h)d',21,46642,ἠδέ,conjunction,false,n/a,indeclform (conj),o(/sa,22,75552,ὅσος,adjective,false,n/a,neut nom/voc/acc pl,fem nom/voc/acc dual,fem nom/voc sg (doric aeolic),pwtw=ntai,23,92012,πωτάομαι,verb,false,n/a,pres subj mp 3rd pl (attic epic ionic),pres ind mp 3rd pl,pres subj mp 3rd pl (attic epic doric ionic),ta/de,24,72010,ὅδε,pronoun,false,n/a,neut acc pl,neut nom pl,fem acc dual,fem nom/voc dual,fe/rbetai,25,110542,φέρβω,verb,false,n/a,pres ind mp 3rd sg,e)k,26,31575,ἐκ,preposition,false,n/a,proclitic indeclform (prep),se/qen,27,97456,σύ,pronoun,false,n/a,gen 2nd sg (epic),o)/lbou,28,72920,ὄλβος,noun,false,n/a,masc gen sg,",",",",",",",",",",.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,e)k,1,31575,ἐκ,preposition,false,n/a,proclitic indeclform (prep),se/o,2,97456,σύ,pronoun,true,1.0,,d',3,23596,δέ,particle,false,n/a,,,eu)/paide/s,4,44669,εὔπαις,noun,false,n/a,,,te,5,102752,τε,particle,false,n/a,enclitic indeclform (particle),kai\,6,51951,καί,conjunction,n/a,false,indeclform (conj),eu)/karpoi,7,44175,εὔκαρπος,adjective,false,n/a,,,tele/qousi,8,102923,τελέθω,verb,false,n/a,,po/tnia,9,86069,πότνια,noun,false,n/a,fem nom/voc sg,seu=,10,97456,σύ,pronoun,1.0,true,,,d',11,23596,δέ,particle,n/a,false,,,,,e)/xetai,12,45996,ἔχω,verb,false,n/a,pres ind mp 3rd sg,dou=nai,13,26447,δίδωμι,verb,false,n/a,aor inf act,bi/on,14,19972,βίος,adjective,true,1.0,,,,h)d',15,46642,ἠδέ,conjunction,false,n/a,indeclform (conj),a)fele/sqai,16,18107,ἀφαιρέω,verb,false,n/a,aor inf mid,qnhtoi=s,17,48910,θνητός,adjective,false,n/a,,a)nqrw/poisin,18,8909,ἄνθρωπος,noun,false,n/a,masc dat pl (epic ionic aeolic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",",",:,,,,gen 2nd sg (epic),gen 2nd sg (epic),indeclform (particle),masc/fem nom/voc pl,masc/fem nom/voc pl,pres part act masc/neut dat pl (attic epic doric ionic),pres ind act 3rd pl (attic epic doric ionic),gen 2nd sg (epic),indeclform (particle),masc acc sg,masc/neut dat pl,masc/fem/neut dat pl,,,,,,,,,,,,,,,,,,,,,,,,
3,7,o(\,1,75512,ὅς,pronoun,true,1.0,neut nom/voc/acc sg,d',2,23596,δέ,particle,false,n/a,indeclform (particle),o)/lbios,3,72908,ὄλβιος,adjective,false,n/a,masc nom sg,masc/fem nom sg,o(/n,4,75512,ὅς,pronoun,false,n/a,masc acc sg,neut acc sg,ke,5,6207,ἄν,particle,false,n/a,epic (enclitic indeclform particle),su\,6,97456,σύ,pronoun,n/a,false,nom 2nd sg,qumw=|,7,49415,θυμός,noun,false,n/a,,,pro/frwn,8,90708,πρόφρων,adverb,false,n/a,masc/fem nom sg,timh/sh|s,9,103972,τιμάω,verb,true,0.5,aor subj act 2nd sg (attic ionic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",:,,,,,,,,,masc dat sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,tw=|,1,71882,ὁ,article,true,1.0,masc/neut dat sg,t',2,102752,τε,particle,true,1.0,enclitic indeclform (particle),a)/fqona,3,18314,ἄφθονος,adjective,false,n/a,,,pa/nta,4,79904,πᾶς,adjective,false,n/a,masc acc sg,neut nom/voc/acc pl,pa/resti,5,79223,πάρειμι,verb,false,n/a,pres ind act 3rd sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neut nom/voc/acc pl,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,
5,9,bri/qei,1,20976,βρῖθος,noun,true,1.0,,me/n,2,66260,μέν,particle,false,n/a,indeclform (particle),sfin,3,101628,σφεῖς,pronoun,false,n/a,,,a)/roura,4,15378,ἄρουρα,adjective,false,n/a,,,fere/sbios,5,110569,φερέσβιος,adjective,false,n/a,masc/fem nom sg,h)de\,6,46642,ἠδέ,conjunction,n/a,false,indeclform (conj),kat',7,53647,κατά,preposition,false,n/a,,,a)grou\s,8,941,ἀγρός,noun,false,n/a,masc acc pl,kth/nesin,9,60356,κτῆνος,noun,false,n/a,neut dat pl,eu)qhnei=,10,43989,εὐθηνέω,verb,n/a,false,pres ind mp 2nd sg (attic epic doric ionic),pres ind act 3rd sg (attic epic doric ionic),oi)=kos,11,72357,οἶκος,noun,n/a,false,,,,,d',12,23596,δέ,particle,false,n/a,indeclform (particle),e)mpi/platai,13,nlsj39585,ἐμπίπλημι,verb,false,n/a,pres ind mp 3rd sg,e)sqlw=n,14,42893,ἐσθλός,adjective,false,n/a,fem gen pl,masc/neut gen pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",:,,,,,,,masc/fem dat pl,fem nom/voc sg,indeclform (prep),,,,masc nom sg,,,,,neut nom/voc/acc dual (attic epic),neut dat sg (epic ionic),neut dat sg,,,,,,,,,,,,,,,,,,,,
6,11,au)toi\,1,17907,αὐτός,pronoun,false,n/a,masc nom/voc pl,d',2,23596,δέ,particle,false,n/a,indeclform (particle),eu)nomi/h|si,3,44558,εὐνομία,noun,false,n/a,,,po/lin,4,84494,πόλις,adjective,false,n/a,,,ka/ta,5,53647,κατά,preposition,true,1.0,indeclform (prep),kalligu/naika,6,52633,καλλιγύναιξ,adjective,n/a,false,masc/fem acc sg,koirane/ous',7,58463,κοιρανέω,verb,false,n/a,pres part act fem nom/voc sg (epic doric ionic),pres part act masc/neut dat pl (epic doric ionic),o)/lbos,8,72920,ὄλβος,noun,false,n/a,masc nom sg,de\,9,23596,δέ,particle,false,n/a,indeclform (particle),polu\s,10,85306,πολύς,adjective,n/a,false,,,kai\,11,51951,καί,conjunction,n/a,false,,,,,plou=tos,12,83987,πλοῦτος,noun,true,0.5,masc nom sg,o)phdei=,13,nlsj79108,ὀπαδέω,verb,true,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",:,,,,,,,fem dat pl (epic ionic),fem acc sg,,,,masc nom sg (attic epic),indeclform (conj),,,,,,,,pres ind act 3rd pl (epic doric ionic),pres part act fem nom/voc pl (epic doric ionic),pres ind mp 2nd sg (attic epic doric ionic),pres ind act 3rd sg (attic epic doric ionic),,,,,,,,,,,,,,,,
7,13,pai=des,1,76703,παῖς,adjective,false,n/a,masc/fem nom/voc pl,d',2,23596,δέ,particle,false,n/a,indeclform (particle),eu)frosu/nh|,3,45442,εὐφροσύνη,noun,true,1.0,,,neoqhle/i,4,70260,νεοθηλής,adjective,false,n/a,,,kudio/wsi,5,60549,κυδιάω,verb,false,n/a,,parqenikai/,6,79585,παρθενική,noun,1.0,true,fem nom/voc pl,te,7,102752,τε,particle,false,n/a,,,xoroi=s,8,114468,χορός,noun,false,n/a,masc dat pl,poluanqe/sin,9,nlsj88395,πολυανθής,adjective,false,n/a,masc/fem/neut dat pl,eu)/froni,10,45445,εὔφρων,adjective,n/a,false,,,qumw=|,11,49415,θυμός,noun,n/a,false,,,,,pai/zousai,12,76678,παίω,verb,false,n/a,,skai/rousi,13,94488,σκαίρω,verb,false,n/a,,kat',14,53647,κατά,preposition,false,n/a,,,,a)/nqea,15,8817,ἄνθος,adjective,false,n/a,neut nom/voc/acc pl (epic ionic),malqaka\,16,64836,μαλθακός,adjective,false,n/a,,poi/hs,17,84094,πόα,noun,true,1.0,fem gen sg (epic doric ionic),ou(/s,18,75512,ὅς,pronoun,false,n/a,masc acc pl,ke,19,6207,ἄν,particle,false,n/a,,,,su\,20,97456,σύ,pronoun,false,n/a,nom 2nd sg,timh/sh|s,21,103972,τιμάω,verb,true,0.5,aor subj act 2nd sg (attic ionic),semnh\,22,93711,σεμνός,adjective,false,n/a,,,,qea/,23,47950,θεά,noun,false,n/a,fem nom/voc/acc dual,fem nom/voc sg (attic doric aeolic),,a)/fqone,24,18314,ἄφθονος,adjective,false,n/a,,,,,dai=mon,25,23242,δαίμων,adjective,false,n/a,masc/fem voc sg,,,,,,,,,,,,,,,,,,,,,,,,,",",",",",",.,,,,,fem dat sg (attic epic ionic),dat sg (epic),enclitic indeclform (particle),,,dat sg,masc dat sg,indeclform (prep),,,,,,,,,pres part act masc/neut dat pl (attic epic doric ionic),pres ind act 3rd pl (attic epic doric ionic),pres part act masc/neut dat pl (epic),pres subj act 3rd pl (epic),pres ind act 3rd pl (epic),pres part act fem nom/voc pl (attic epic doric ionic),pres part act fem nom/voc pl (attic epic doric ionic),neut nom/voc/acc pl,fem nom/voc/acc dual,fem nom/voc sg (doric aeolic),epic (enclitic indeclform particle),fem nom/voc sg (attic epic ionic),masc/fem voc sg,,,,,
8,17,xai=re,1,112934,χαίρω,verb,false,n/a,,qew=n,2,nlsj96033,θέα,noun,true,0.33,fem gen pl,mh/thr,3,67543,μήτηρ,noun,false,n/a,,,a)/lox',4,4632,ἄλοξ,noun,true,0.5,fem acc sg,fem dat sg,*ou)ranou=,5,nlsj8375,Οὐρανός,proper,false,n/a,masc gen sg,a)stero/entos,6,16497,ἀστερόεις,adjective,n/a,false,masc/neut gen sg,pro/frwn,7,90708,πρόφρων,adverb,false,n/a,,,d',8,23596,δέ,particle,false,n/a,indeclform (particle),a)nt',9,9778,ἀντί,preposition,false,n/a,indeclform (prep),w)|dh=s,10,11106,ἀοιδός,noun,0.5,true,,,bi/oton,11,19986,βίοτος,noun,n/a,false,,,,,qumh/re',12,49354,θυμαρής,adjective,false,n/a,,o)/paze,13,74420,ὀπάζω,verb,false,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",",",",",:,,,,,fem nom sg,,masc/fem nom sg,,,fem gen sg (attic epic ionic),masc acc sg,,,,,pres imperat act 2nd sg,imperf ind act 3rd sg (homeric ionic),,,,pres imperat act 2nd sg,imperf ind act 3rd sg (homeric ionic),,,,neut nom/voc/acc pl (epic ionic),masc/fem acc sg (epic ionic),,,,,,,fem nom/voc/acc dual,masc/fem/neut nom/voc/acc dual (attic epic ionic),masc/fem/neut dat sg (epic ionic),dat sg (epic ionic),masc/fem/neut nom/voc/acc dual (epic ionic)
9,19,au)ta\r,1,16958,ἀτάρ,particle,false,n/a,epic (indeclform particle),e)gw\,2,30657,ἐγώ,pronoun,false,n/a,masc/fem nom/voc 1st sg,kai\,3,51951,καί,conjunction,false,n/a,,,sei=o,4,97456,σύ,pronoun,true,1.0,,,kai\,5,51951,καί,conjunction,false,n/a,indeclform (conj),a)/llhs,6,4490,ἄλλος,adjective,n/a,false,fem gen sg (attic epic ionic),mnh/som',7,67868,μιμνήσκω,verb,false,n/a,aor subj mid 1st sg (epic),fut ind mid 1st sg,a)oidh=s,8,11106,ἀοιδός,noun,true,1.0,fem gen sg (attic epic ionic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indeclform (conj),gen 2nd sg (epic),,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,

